,Address,Price,Zip Code,Size,Neighbourhood
1182,"8437 N Bliss St, Portland, OR 97203",375000,97203,944,Cathedral Park
1268,"10215 N Buchanan Ave, Portland, OR 97203",465000,97203,1949,Cathedral Park
1300,"10140 N Polk Ave, Portland, OR 97203",399000,97203,980,Cathedral Park
1323,"7467 N Jordan Ave, Portland, OR 97203",450000,97203,1054,Cathedral Park
1325,"10007 N Central St, Portland, OR 97203",490000,97203,1400,Cathedral Park
1330,"5409 N Depauw St, Portland, OR 97203",475000,97203,1690,Cathedral Park
1377,"9426 N Buchanan Ave, Portland, OR 97203",475000,97203,1560,Cathedral Park
1434,"8806 N Dwight Ave, Portland, OR 97203",439000,97203,1621,Cathedral Park
1440,"8615 N Van Houten Ave, Portland, OR 97203",639000,97203,2420,Cathedral Park
1458,"9380 N Mohawk Ave, Portland, OR 97203",669000,97203,2090,Cathedral Park
1463,"9035 N Clarendon Ave, Portland, OR 97203",550000,97203,2449,Cathedral Park
1481,"7007 N Smith St, Portland, OR 97203",415000,97203,1342,Cathedral Park
1488,"9034 N Portsmouth Ave, Portland, OR 97203",425000,97203,983,Cathedral Park
1510,"6839 N Fiske Ave, Portland, OR 97203",775000,97203,2284,Cathedral Park
1545,"5259 N Bowdoin St, Portland, OR 97203",350000,97203,1896,Cathedral Park
1556,"7223 N Fessenden St, Portland, OR 97203",349950,97203,976,Cathedral Park
1575,"6907 N Haven Ave, Portland, OR 97203",695000,97203,2284,Cathedral Park
1581,"9733 N Exeter Ave, Portland, OR 97203",384900,97203,887,Cathedral Park
1636,"10131 N Lombard St, Portland, OR 97203",679000,97203,2342,Cathedral Park
1663,"9101 N Buchanan Ave, Portland, OR 97203",299000,97203,1752,Cathedral Park
1670,"9623 N Haven Ave, Portland, OR 97203",422900,97203,1488,Cathedral Park
1719,"9133 N Central St, Portland, OR 97203",350000,97203,1032,Cathedral Park
1720,"9335 N Fairhaven Ave, Portland, OR 97203",299900,97203,720,Cathedral Park
1757,"7707 N McKenna Ave, Portland, OR 97203",649000,97203,2790,Cathedral Park
1762,"9722 N Hudson St, Portland, OR 97203",535000,97203,1479,Cathedral Park
1788,"5276 N Bowdoin St, Portland, OR 97203",495000,97203,1382,Cathedral Park
1790,"8523 N Newman Ave, Portland, OR 97203",299000,97203,2370,Cathedral Park
1799,"7109 N Sedro St, Portland, OR 97203",399999,97203,960,Cathedral Park
1828,"7927 N Hurst Ave, Portland, OR 97203",499900,97203,1609,Cathedral Park
1829,"8704 N Woolsey Ave, Portland, OR 97203",410000,97203,956,Cathedral Park
1852,"7474 N Oswego Ave, Portland, OR 97203",359900,97203,898,Cathedral Park
1853,"7480 N Oswego Ave, Portland, OR 97203",329900,97203,874,Cathedral Park
1885,"6716 N Richmond Ave, Portland, OR 97203",325000,97203,1153,Cathedral Park
1964,"9576 N Burr Ave, Portland, OR 97203",469000,97203,1467,Cathedral Park
1979,"6949 N Astor St, Portland, OR 97203",475000,97203,2289,Cathedral Park
2066,"9325 N Chicago Ave, Portland, OR 97203",479900,97203,964,Cathedral Park
2092,"6836 N Armour St, Portland, OR 97203",359900,97203,975,Cathedral Park
2107,"9235 N Edison St, Portland, OR 97203",449000,97203,1026,Cathedral Park
2170,"6841 N Astor St, Portland, OR 97203",402000,97203,1543,Cathedral Park
2233,"8712 N Decatur St Unit 301, Portland, OR 97203",311000,97203,934,Cathedral Park
45,"1132 SW 19th Ave, Portland, OR 97205",499000,97205,1102,Downtown
293,"1132 SW 19th Ave Unit 803, Portland, OR 97205",599900,97205,1374,Downtown
384,"2021 SW Main St Unit 43, Portland, OR 97205",349000,97205,1026,Downtown
