Address,Price,Beds,Baths,Sizes
"611 SE 142nd Ave Unit A, Portland, OR 97233","$399,900 ",3,3,"1,510sqft"
"11945 NW Vallevue Pl, Portland, OR 97229","$600,000 ",4,3,"3,098sqft"
"1001 NW Lovejoy St Unit TH802, Portland, OR 97209","$999,500 ",3,3,"1,726sqft"
"7501 SW Canyon Rd, Portland, OR 97225","$700,000 ",3,1,"2,410sqft"
"1627 N Jantzen Ave, Portland, OR 97217","$549,000 ",2,3,"1,256sqft"
"6726 E Burnside St, Portland, OR 97215","$499,000 ",3,2,"1,552sqft"
"4715 NE 108th Ave, Portland, OR 97220","$590,000 ",3,2,"2,696sqft"
"3900 SW Hillsdale Ave, Portland, OR 97239","$1,350,000 ",3,2,"3,082sqft"
"2241 NW Pettygrove St Apt 1, Portland, OR 97210","$520,000 ",2,2,"1,134sqft"
"19735 NW Quail Hollow Dr, Portland, OR 97229","$369,900 ",2,2,958sqft
"942 NE Floral Pl, Portland, OR 97232","$824,900 ",4,2,"2,816sqft"
"842 SW Broadway Dr Unit 2, Portland, OR 97201","$759,000 ",2,3,"2,185sqft"
"7575 SE 156th Ave, Portland, OR 97236","$614,900 ",5,3,"2,925sqft"
"36 SE 72nd Ave, Portland, OR 97215","$699,000 ",4,2,"1,792sqft"
"1717 SE 151st Ave, Portland, OR 97233","$439,000 ",3,2,"2,112sqft"
"11879 NW Weaver Ln Lot 72, Portland, OR 97229","$1,099,950 ",5,3,"3,252sqft"
"15144 NW Cosmos St, Portland, OR 97229","$748,000 ",4,3,"1,997sqft"
"6706 SE Steele St, Portland, OR 97206","$375,000 ",2,1,"1,992sqft"
"7610 SE 69th Ave, Portland, OR 97206","$399,900 ",3,1,"1,026sqft"
"1310 NW Naito Pkwy Unit 407A, Portland, OR 97209","$549,000 ",3,2,"1,735sqft"
"7519 SE 70th Ave, Portland, OR 97206","$399,900 ",4,1,"1,128sqft"
"3107 SE Crystal Springs Blvd, Portland, OR 97202","$650,000 ",3,2,"1,862sqft"
