,Address,Price,Zip Code,size
321,"1310 NW Naito Pkwy Unit 607, Portland, OR 97209",714950,97209,1595
322,"7533 NE Mason St, Portland, OR 97218",475000,97218,1420
323,"5759 NE Ainsworth St, Portland, OR 97218",590000,97218,2246
324,"5734 N Montana Ave Unit 1, Portland, OR 97217",330000,97217,915
325,"5833 NE Wasco St, Portland, OR 97213",589500,97213,2130
326,"2741 SE 141st Ave Unit A, Portland, OR 97236",375000,97236,1312
327,"232 N Hayden Bay Dr, Portland, OR 97217",425000,97217,1927
328,"7640 SW 30th Dr, Portland, OR 97219",465000,97219,1050
329,"4824 NE 37th Ave, Portland, OR 97211",625000,97211,2442
330,"8818 SW 82nd Ave, Portland, OR 97223",850000,97223,2908
331,"2333 SE 32nd Ave, Portland, OR 97214",636500,97214,2116
332,"6644 SE 47th Ave, Portland, OR 97206",649000,97206,2260
333,"7523 SE Holgate Blvd, Portland, OR 97206",399900,97206,1628
334,"11126 SE Boise St, Portland, OR 97266",278000,97266,620
335,"8604 SW 41st Ave, Portland, OR 97219",628000,97219,1624
336,"1534 NW Mayfield Rd, Portland, OR 97229",895000,97229,3750
337,"5906 NE Sumner St, Portland, OR 97218",325000,97218,863
338,"17010 NW Sheltered Nook Rd, Portland, OR 97231",2490000,97231,7719
339,"6331 SE Dunbar Dr, Portland, OR 97236",549900,97236,2233
340,"15479 NW Westbrook Way, Portland, OR 97229",760000,97229,2444
341,"15751 NE Weidler St, Portland, OR 97230",549900,97230,2187
342,"3519 SE 64th Ave, Portland, OR 97206",385000,97206,1176
343,"7445 SE 32nd Ave, Portland, OR 97202",925000,97202,3184
344,"3349 NE 162nd Ave, Portland, OR 97230",249900,97230,1095
345,"4815 SE Rural St, Portland, OR 97206",955000,97206,2597
346,"3621 SW Humphrey Blvd, Portland, OR 97221",949000,97221,4399
347,"10729 SW 62nd Pl, Portland, OR 97219",599900,97219,1979
348,"910 NW Naito Pkwy Apt I23, Portland, OR 97209",379000,97209,1082
349,"232 NE Graham St, Portland, OR 97212",725000,97212,2556
350,"904 SE 169th Dr, Portland, OR 97233",375000,97233,984
